1786070679| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070680| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070681| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070682| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070683| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070684| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070685| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070686| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070687| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070688| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070690| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070691| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070692| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070693| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070694| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070695| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070696| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070697| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070698| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070699| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070700| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070701| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070702| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070703| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070704| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070705| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070706| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070707| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070709| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070710| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070711| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070712| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070713| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070714| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070715| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070716| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070717| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070718| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070719| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070720| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070721| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070722| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070723| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070724| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070725| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070726| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070727| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070728| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070730| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070731| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070732| level: 89| voltage: 4299| temperature: 306| current now: -173437| charge counter: 4398025|
1786070733| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070734| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070735| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
