
"(PDH-CSV 4.0)","\\QCWORKSHOP4\Processor(_Total)\% Processor Time"
"08/06/2026 20:35:21.625","26.341054"
"08/06/2026 20:35:22.630","23.734491"
"08/06/2026 20:35:23.636","25.396918"
"08/06/2026 20:35:24.642","23.279298"
"08/06/2026 20:35:25.645","22.611033"
"08/06/2026 20:35:26.652","25.133637"
"08/06/2026 20:35:27.660","22.094080"
"08/06/2026 20:35:28.662","22.049788"
"08/06/2026 20:35:29.671","23.059240"
"08/06/2026 20:35:30.688","22.467427"
"08/06/2026 20:35:31.724","19.141376"
"08/06/2026 20:35:32.778","28.651668"
"08/06/2026 20:35:33.832","28.576673"
"08/06/2026 20:35:34.847","31.890503"
"08/06/2026 20:35:35.862","27.927184"
"08/06/2026 20:35:36.864","20.745829"
"08/06/2026 20:35:37.870","26.196924"
"08/06/2026 20:35:38.875","21.537089"
"08/06/2026 20:35:39.880","22.512598"
"08/06/2026 20:35:40.881","23.876443"
"08/06/2026 20:35:41.885","19.512530"
"08/06/2026 20:35:42.899","26.923998"
"08/06/2026 20:35:43.911","30.771761"
"08/06/2026 20:35:44.934","29.739960"
"08/06/2026 20:35:45.947","31.881275"
"08/06/2026 20:35:46.983","30.318082"
"08/06/2026 20:35:47.990","28.308298"
"08/06/2026 20:35:49.001","28.446169"
"08/06/2026 20:35:50.023","30.654654"
"08/06/2026 20:35:51.029","30.539137"
"08/06/2026 20:35:52.036","29.797498"
"08/06/2026 20:35:53.041","28.826119"
"08/06/2026 20:35:54.045","26.481955"
"08/06/2026 20:35:55.061","31.711800"
"08/06/2026 20:35:56.066","30.186673"
"08/06/2026 20:35:57.070","25.390337"
"08/06/2026 20:35:58.078","29.028797"
"08/06/2026 20:35:59.097","27.237040"
"08/06/2026 20:36:00.112","25.218476"
"08/06/2026 20:36:01.118","3.231904"
"08/06/2026 20:36:02.125","5.479739"
"08/06/2026 20:36:03.142","4.206724"
"08/06/2026 20:36:04.157","4.209772"
"08/06/2026 20:36:05.162","3.161927"
"08/06/2026 20:36:06.165","4.589593"
"08/06/2026 20:36:07.169","4.451256"
"08/06/2026 20:36:08.186","3.977562"
"08/06/2026 20:36:09.194","4.985053"
"08/06/2026 20:36:10.203","3.167062"
"08/06/2026 20:36:11.225","7.022475"
"08/06/2026 20:36:12.236","4.158318"
"08/06/2026 20:36:13.251","9.303791"
"08/06/2026 20:36:14.263","2.909722"
"08/06/2026 20:36:15.274","5.718310"
"08/06/2026 20:36:16.275","2.734680"
"08/06/2026 20:36:17.285","5.174739"
"08/06/2026 20:36:18.293","3.538053"
"08/06/2026 20:36:19.299","5.267114"
"08/06/2026 20:36:20.303","5.077598"
"08/06/2026 20:36:21.312","5.712367"
"08/06/2026 20:36:22.314","4.461254"
"08/06/2026 20:36:23.329","4.687903"
"08/06/2026 20:36:24.344","3.078460"
"08/06/2026 20:36:25.347","6.429730"
"08/06/2026 20:36:26.356","3.735266"
"08/06/2026 20:36:27.368","2.652848"
"08/06/2026 20:36:28.378","4.191309"
"08/06/2026 20:36:29.384","3.884980"
"08/06/2026 20:36:30.401","6.093000"
"08/06/2026 20:36:31.411","2.647446"
"08/06/2026 20:36:32.421","8.778093"
Exiting, please wait...                         
The command completed successfully.
