
"(PDH-CSV 4.0)","\\QCWORKSHOP4\Processor(_Total)\% Processor Time"
"08/06/2026 20:27:56.997","3.865424"
"08/06/2026 20:27:58.013","3.639722"
"08/06/2026 20:27:59.021","6.203979"
"08/06/2026 20:28:00.025","3.760465"
"08/06/2026 20:28:01.038","3.933643"
"08/06/2026 20:28:02.041","6.399272"
"08/06/2026 20:28:03.044","4.076202"
"08/06/2026 20:28:04.054","4.517632"
"08/06/2026 20:28:05.069","6.577622"
"08/06/2026 20:28:06.073","5.834135"
"08/06/2026 20:28:07.077","4.646608"
"08/06/2026 20:28:08.088","3.706585"
"08/06/2026 20:28:09.102","7.031491"
"08/06/2026 20:28:10.110","2.118741"
"08/06/2026 20:28:11.120","5.720549"
"08/06/2026 20:28:12.129","7.394928"
"08/06/2026 20:28:13.138","10.920402"
"08/06/2026 20:28:14.148","13.772204"
"08/06/2026 20:28:15.161","9.899615"
"08/06/2026 20:28:16.167","5.877271"
"08/06/2026 20:28:17.182","3.750589"
"08/06/2026 20:28:18.198","2.264378"
"08/06/2026 20:28:19.204","5.549794"
"08/06/2026 20:28:20.217","6.479969"
"08/06/2026 20:28:21.225","4.491580"
"08/06/2026 20:28:22.241","6.580704"
"08/06/2026 20:28:23.245","4.083586"
"08/06/2026 20:28:24.260","4.694913"
"08/06/2026 20:28:25.269","2.185753"
"08/06/2026 20:28:26.284","4.869433"
"08/06/2026 20:28:27.292","3.463566"
"08/06/2026 20:28:28.294","4.870814"
"08/06/2026 20:28:29.309","2.668335"
"08/06/2026 20:28:30.324","4.478454"
"08/06/2026 20:28:31.333","1.153773"
"08/06/2026 20:28:32.344","4.476131"
"08/06/2026 20:28:33.352","5.587536"
"08/06/2026 20:28:34.369","6.502966"
"08/06/2026 20:28:35.374","5.917870"
"08/06/2026 20:28:36.383","7.324693"
"08/06/2026 20:28:37.395","4.036328"
"08/06/2026 20:28:38.398","7.838978"
"08/06/2026 20:28:39.409","8.366450"
"08/06/2026 20:28:40.429","3.765467"
"08/06/2026 20:28:41.436","4.337533"
"08/06/2026 20:28:42.447","2.934965"
"08/06/2026 20:28:43.451","6.347478"
"08/06/2026 20:28:44.468","2.225172"
"08/06/2026 20:28:45.472","5.892881"
"08/06/2026 20:28:46.486","3.554850"
"08/06/2026 20:28:47.491","3.375359"
"08/06/2026 20:28:48.496","5.152635"
"08/06/2026 20:28:49.496","3.864745"
"08/06/2026 20:28:50.507","3.196052"
"08/06/2026 20:28:51.519","4.263526"
"08/06/2026 20:28:52.536","3.874870"
"08/06/2026 20:28:53.550","4.768430"
"08/06/2026 20:28:54.564","3.902687"
"08/06/2026 20:28:55.569","6.485767"
"08/06/2026 20:28:56.572","5.564710"
"08/06/2026 20:28:57.575","5.106826"
"08/06/2026 20:28:58.587","6.058172"
"08/06/2026 20:28:59.598","2.587024"
"08/06/2026 20:29:00.608","6.321416"
"08/06/2026 20:29:01.612","3.343507"
Exiting, please wait...                         
The command completed successfully.
